,books,num_copies
0,tfLVzUKOLVzerlXUjYNQ,4226324
1,WWqhABnhgBzraupSvRhD,4048899
2,SgGhHtQZSpiCJZhYwMTs,774329
3,mwSsIVfIpkgMFCrslwgJ,1359606
4,aPmjxOFWWqUEXhjPHcei,4703380
5,aSFdmDeIWTMUpKNlkpMx,1995508
7,LsyHVfgmGrDNdZcHdEkN,1707593
9,hTviFYUbYOgwCxQPeNOt,477255
10,UkcYAQLtNiloTSEiYCTy,4432804
11,vDTjIenMuFyPUxHdBFWz,3101552
12,PZQdWVKhQbGBIjSNOTsA,4429606
13,oFItwObPNBFYrEvachAv,788922
14,cPNgbUaieFLgEejFmrJh,2207384
16,WRCcgSnECimBfClrnzLX,3522512
17,iyAHRkLPOqOGneziotHN,4166595
18,uMRalsNaUfpirDCfMTTr,3621329
19,ftYtdTlmUnWJVtqDzYFL,329963
20,kCUKgEDPgNfwHgToUear,3587381
21,pqFMEIZNmcKypbAtVCzF,3317453
22,qjrQWuqmSOOtrBlmwfFh,2521691
23,MfxKbszEcDKJJLPteuPY,3999424
24,yrstaePfIsyocpJnnOVa,2587821
26,qoodUlvpvzkLuGCfqWyi,3060870
29,BieCCtXBroWterdkTIOJ,1941709
30,BzJjQLfDnocvkBaOVWAF,3234283
31,jGCEMbRIyGEnXZkFweKc,1082912
32,feOXxIqeASiSIsAYSwVE,4036831
33,yrIookplyVAlriysKxTp,4847236
34,ZHfdBGgAraVJmHOcumjt,108906
36,AMkNxApoUhJHvQUpgiHS,789218
37,BdxioVBwwDeUVYORAaHd,1365886
38,UFtklBbxLJUHhQUDrnpk,4915796
39,mORbMEoJsBLaBJODZZJo,3254071
41,oVOVKKBUFdubfsBNCWLi,3981591
42,MQdwykQhlscccbPmBzKy,4011088
43,BFUqwRPFBmYwoDNTgDwd,2574584
44,zXeTNLfdpAsJsuriDPQy,2573882
46,TDsKKGpcspfwTtAIIfdi,2523602
47,evGFsyeKLsOKzzfIlDlw,3066562
48,TXTCaqvmxmBHUckJtIcl,78492
49,fgzuRcaMZMaQeFTYWfOh,1999677
50,HEpspnonXeaYhIeSIiLX,1719504
51,xiqwujuJUlOoTgAGFzaL,1003966
54,YAEyTERXWxCTkQfccmRw,2947734
55,sqfGBpwezwBRqFKYbusZ,3180004
56,kIbnOVJdrtnmeZbknHSt,997131
58,GpsmSAHiLkmaDsvDbjXe,3685923
60,uVMoOoYnVetkgIXhoVIU,2218697
